merriwh01,2021,1,KCA,AL,162,664,97,184,42,3,10,74,40,4,40,103,1,4,0,12,12,,0.277108434
semiema01,2021,1,TOR,AL,162,652,115,173,39,2,45,102,15,1,66,146,0,3,0,3,9,,0.265337423
edmanto01,2021,1,SLN,NL,159,641,91,168,41,3,11,56,30,5,38,95,1,6,2,4,4,,0.262090484
bichebo01,2021,1,TOR,AL,159,640,121,191,30,1,29,102,25,1,40,137,0,6,0,4,10,,0.2984375
kineris01,2021,1,TEX,AL,158,635,74,172,25,3,8,53,20,5,28,90,2,11,1,2,11,,0.270866142
albieoz01,2021,1,ATL,NL,156,629,103,163,40,7,30,106,20,4,47,128,2,3,0,7,4,,0.259141494
fletcda02,2021,1,LAA,AL,157,626,74,164,27,3,2,47,15,3,31,60,1,1,6,1,10,,0.261980831
schoojo01,2021,1,DET,AL,156,623,85,173,30,1,22,84,2,0,37,133,0,6,0,8,15,,0.277688604
hanigmi01,2021,1,SEA,AL,157,620,110,157,23,2,39,100,1,0,54,169,2,9,0,8,12,,0.253225806
perezsa02,2021,1,KCA,AL,161,620,88,169,24,0,48,121,1,0,28,170,4,13,0,4,14,,0.272580645
crawfjp01,2021,1,SEA,AL,160,619,89,169,37,0,9,54,3,6,58,114,1,5,1,4,10,,0.273021002
guerrvl02,2021,1,TOR,AL,161,604,123,188,29,1,48,111,4,1,86,110,7,6,0,2,20,,0.311258278
goldspa01,2021,1,SLN,NL,158,603,102,177,36,2,31,99,12,0,67,136,2,4,0,5,13,,0.293532338
seageky01,2021,1,SEA,AL,159,603,73,128,29,1,35,101,3,1,59,161,2,4,0,4,7,,0.212271973
mullice01,2021,1,BAL,AL,159,602,91,175,37,5,30,59,30,8,59,125,3,8,1,4,2,,0.290697674
altuvjo01,2021,1,HOU,AL,146,601,117,167,32,1,31,83,5,3,66,91,3,4,1,6,9,,0.277870216
freemfr01,2021,1,ATL,NL,159,600,120,180,25,2,31,83,8,3,85,107,15,8,0,2,11,,0.3
lemahdj01,2021,1,NYA,AL,150,597,84,160,24,1,10,57,4,2,73,94,2,4,0,5,16,,0.2680067
arenano01,2021,1,SLN,NL,157,593,81,151,34,3,34,105,2,0,50,96,8,3,0,7,20,,0.254637437
deverra01,2021,1,BOS,AL,156,591,101,165,37,1,38,113,5,5,62,143,7,7,0,4,13,,0.279187817
rileyau01,2021,1,ATL,NL,160,590,91,179,33,1,33,107,0,1,52,168,2,12,0,8,11,,0.303389831
polanjo01,2021,1,MIN,AL,152,588,97,158,35,2,33,98,11,6,45,118,0,5,0,6,4,,0.268707483
swansda01,2021,1,ATL,NL,160,588,78,146,33,2,27,88,9,3,52,167,4,5,1,7,7,,0.24829932
garciad02,2021,1,TEX,AL,149,581,77,141,26,2,31,90,16,5,32,194,0,5,0,4,15,,0.242685026
francty01,2021,1,SEA,AL,152,571,85,166,32,1,18,73,0,0,46,106,1,27,0,6,13,,0.290718039
martijd02,2021,1,BOS,AL,148,570,92,163,42,3,28,99,0,0,55,150,6,3,0,5,18,,0.285964912
croneja01,2021,1,SDN,NL,152,567,94,151,33,7,21,71,4,3,55,90,6,10,3,3,8,,0.266313933
abreujo02,2021,1,CHA,AL,152,566,86,148,30,2,30,117,1,0,61,143,3,22,0,10,28,,0.261484099
olsonma02,2021,1,OAK,AL,156,565,101,153,35,0,39,111,4,1,88,113,12,9,0,11,17,,0.27079646
santaca01,2021,1,KCA,AL,158,565,66,121,15,0,19,69,2,0,86,102,3,3,0,5,12,,0.214159292
machama01,2021,1,SDN,NL,153,564,92,157,31,2,28,106,12,3,63,102,10,2,0,11,10,,0.278368794
alonspe01,2021,1,NYN,NL,152,561,81,147,27,3,37,94,3,0,60,127,6,12,0,4,20,,0.262032086
reynobr01,2021,1,PIT,NL,159,559,93,169,35,8,24,90,5,2,75,119,9,8,0,4,10,,0.302325581
candeje01,2021,1,DET,AL,149,557,75,151,42,3,16,67,0,0,65,135,1,4,0,0,10,,0.271095153
grossro01,2021,1,DET,AL,156,557,88,133,23,3,23,67,20,5,98,155,3,8,2,6,8,,0.238779174
lowena01,2021,1,TEX,AL,157,557,75,147,24,3,18,72,8,0,80,162,2,2,0,3,13,,0.263913824
mancitr01,2021,1,BAL,AL,147,556,77,142,33,1,21,71,0,0,51,143,4,8,0,1,19,,0.255395683
correca01,2021,1,HOU,AL,148,555,104,155,34,1,26,92,0,0,75,116,2,4,0,6,16,,0.279279279
ramirjo01,2021,1,CLE,AL,152,552,111,147,32,5,36,103,27,4,72,87,10,7,0,5,13,,0.266304348
hernate01,2021,1,TOR,AL,143,550,92,163,29,0,32,116,12,4,36,148,1,7,0,2,5,,0.296363636
judgeaa01,2021,1,NYA,AL,148,550,89,158,24,0,39,98,6,1,75,158,2,3,0,5,16,,0.287272727
rosaram01,2021,1,CLE,AL,141,550,77,155,25,6,11,57,13,0,31,120,0,3,0,4,12,,0.281818182
verdual01,2021,1,BOS,AL,146,544,88,157,32,2,13,63,6,2,51,96,6,4,0,5,11,,0.288602941
carlsdy01,2021,1,SLN,NL,149,542,79,144,31,4,18,65,2,1,57,152,2,11,1,8,5,,0.265682657
alvaryo01,2021,1,HOU,AL,144,537,92,149,35,1,33,104,1,0,50,145,3,8,0,3,16,,0.277467412
ohtansh01,2021,1,LAA,AL,158,537,103,138,26,8,46,100,26,10,96,189,20,4,0,2,7,,0.25698324
lowebr01,2021,1,TBA,AL,149,535,97,132,31,0,39,99,7,1,68,167,4,9,0,3,2,,0.246728972
mountry01,2021,1,BAL,AL,144,534,77,136,23,1,33,89,4,3,41,161,2,4,0,7,12,,0.254681648
turneju01,2021,1,LAN,NL,151,533,87,148,22,0,27,87,3,0,61,98,0,12,0,6,12,,0.277673546
indiajo01,2021,1,CIN,NL,150,532,98,143,34,2,21,69,12,3,71,141,1,23,1,4,13,,0.268796992
casteni01,2021,1,CIN,NL,138,531,95,164,38,1,34,100,3,1,41,121,5,7,0,6,16,,0.308851224
gourryu01,2021,1,HOU,AL,143,530,83,169,31,0,15,81,1,1,59,68,2,4,0,12,16,,0.318867925
